trade_date,close_ic0,close_ic1,close_ic2,close_ic3,price_spread_ic0_ic1,price_spread_ic0_ic2,price_spread_ic0_ic3,price_spread_ic1_ic2,price_spread_ic1_ic3,price_spread_ic2_ic3
2025-05-30,5627.8,5559.4,5452.0,5332.4,68.40000000000055,175.80000000000018,295.40000000000055,107.39999999999964,227.0,119.60000000000036
2025-05-29,5668.6,5598.8,5492.8,5373.2,69.80000000000018,175.80000000000018,295.40000000000055,106.0,225.60000000000036,119.60000000000036
2025-05-28,5568.0,5494.2,5383.4,5261.4,73.80000000000018,184.60000000000036,306.60000000000036,110.80000000000018,232.80000000000018,122.0
2025-05-27,5578.0,5503.4,5388.4,5261.0,74.60000000000036,189.60000000000036,317.0,115.0,242.39999999999964,127.39999999999964
2025-05-26,5594.6,5515.6,5400.0,5271.8,79.0,194.60000000000036,322.8000000000002,115.60000000000036,243.80000000000018,128.19999999999982
2025-05-23,5561.8,5487.0,5377.6,5253.2,74.80000000000018,184.19999999999982,308.60000000000036,109.39999999999964,233.80000000000018,124.40000000000055
2025-05-22,5614.8,5538.0,5426.2,5299.4,76.80000000000018,188.60000000000036,315.40000000000055,111.80000000000018,238.60000000000036,126.80000000000018
2025-05-21,5655.6,5579.4,5460.8,5328.2,76.20000000000073,194.80000000000018,327.40000000000055,118.59999999999945,251.19999999999982,132.60000000000036
2025-05-20,5650.8,5573.4,5455.0,5320.0,77.40000000000055,195.80000000000018,330.8000000000002,118.39999999999964,253.39999999999964,135.0
2025-05-19,5623.0,5551.8,5435.2,5307.8,71.19999999999982,187.80000000000018,315.1999999999998,116.60000000000036,244.0,127.39999999999964
2025-05-16,5723.6,5601.8,5435.2,5318.6,121.80000000000018,288.40000000000055,405.0,166.60000000000036,283.1999999999998,116.59999999999945
2025-05-15,5720.8,5623.0,5455.4,5346.8,97.80000000000018,265.40000000000055,374.0,167.60000000000036,276.1999999999998,108.59999999999945
2025-05-14,5800.0,5697.8,5533.0,5420.4,102.19999999999982,267.0,379.60000000000036,164.80000000000018,277.40000000000055,112.60000000000036
2025-05-13,5767.2,5654.6,5492.0,5382.4,112.59999999999945,275.1999999999998,384.8000000000002,162.60000000000036,272.2000000000007,109.60000000000036
2025-05-12,5786.0,5688.0,5524.6,5417.8,98.0,261.39999999999964,368.1999999999998,163.39999999999964,270.1999999999998,106.80000000000018
2025-05-09,5702.4,5604.8,5455.8,5350.8,97.59999999999945,246.59999999999945,351.59999999999945,149.0,254.0,105.0
2025-05-08,5752.0,5660.0,5515.2,5412.8,92.0,236.80000000000018,339.1999999999998,144.80000000000018,247.19999999999982,102.39999999999964
2025-05-07,5718.2,5620.2,5482.6,5386.0,98.0,235.59999999999945,332.1999999999998,137.59999999999945,234.19999999999982,96.60000000000036
2025-05-06,5705.6,5622.0,5484.0,5387.0,83.60000000000036,221.60000000000036,318.60000000000036,138.0,235.0,97.0
2025-04-30,5590.2,5497.0,5365.6,5273.0,93.19999999999982,224.59999999999945,317.1999999999998,131.39999999999964,224.0,92.60000000000036
2025-04-29,5573.8,5487.2,5360.8,5275.6,86.60000000000036,213.0,298.1999999999998,126.39999999999964,211.59999999999945,85.19999999999982
2025-04-28,5556.0,5471.0,5344.8,5252.0,85.0,211.19999999999982,304.0,126.19999999999982,219.0,92.80000000000018
2025-04-25,5582.2,5498.6,5371.4,5278.8,83.59999999999945,210.80000000000018,303.39999999999964,127.20000000000073,219.80000000000018,92.59999999999945
2025-04-24,5564.4,5478.0,5350.6,5257.4,86.39999999999964,213.79999999999927,307.0,127.39999999999964,220.60000000000036,93.20000000000073
2025-04-23,5580.4,5495.0,5366.6,5274.4,85.39999999999964,213.79999999999927,306.0,128.39999999999964,220.60000000000036,92.20000000000073
2025-04-22,5568.0,5486.0,5353.2,5254.0,82.0,214.80000000000018,314.0,132.80000000000018,232.0,99.19999999999982
2025-04-21,5578.8,5499.8,5365.4,5267.4,79.0,213.40000000000055,311.40000000000055,134.40000000000055,232.40000000000055,98.0
2025-04-18,5552.2,5481.2,5400.0,5272.2,71.0,152.19999999999982,280.0,81.19999999999982,209.0,127.80000000000018
2025-04-17,5551.2,5483.6,5406.6,5280.2,67.59999999999945,144.59999999999945,271.0,77.0,203.40000000000055,126.40000000000055
2025-04-16,5540.4,5454.8,5366.6,5239.8,85.59999999999945,173.79999999999927,300.59999999999945,88.19999999999982,215.0,126.80000000000018
2025-04-15,5580.0,5502.6,5415.6,5283.4,77.39999999999964,164.39999999999964,296.60000000000036,87.0,219.20000000000073,132.20000000000073
2025-04-14,5584.8,5515.8,5437.4,5310.2,69.0,147.40000000000055,274.60000000000036,78.40000000000055,205.60000000000036,127.19999999999982
