"ts_code","trade_date","close","pre_close","pre_settle","open","high","low","settle","change1","change2","vol","amount","oi","oi_chg","delv_settle"
"ICL1.CFX","20250530","5559.4","5598.8","5593","5598.2","5598.2","5521.8","5551.6","-33.6","-41.4","3500","388349.248","9107","",""
"ICL1.CFX","20250529","5598.8","5494.2","5489.8","5495","5617.4","5495","5593","109","103.2","5710","636744","9734","",""
"ICL1.CFX","20250528","5494.2","5503.4","5506.8","5506.8","5521.6","5475.2","5489.8","-12.6","-17","3310","363578.736","7675","",""
"ICL1.CFX","20250527","5503.4","5515.6","5515.4","5512.4","5524.4","5471.4","5506.8","-12","-8.6","3492","383697.112","7194","",""
"ICL1.CFX","20250526","5515.6","5487","5501","5487","5545.4","5485.2","5515.4","14.6","14.4","3663","403983.776","6197","",""
"ICL1.CFX","20250523","5487","5538","5539.8","5539.8","5589","5482.8","5501","-52.8","-38.8","4310","477367.512","5966","",""
"ICL1.CFX","20250522","5538","5579.4","5576.6","5569","5594","5520.6","5539.8","-38.6","-36.8","3490","387381.828","4548","",""
"ICL1.CFX","20250521","5579.4","5573.4","5571.8","5563.8","5588.8","5551.8","5576.6","7.6","4.8","2412","268781.236","3458","",""
"ICL1.CFX","20250520","5573.4","5551.8","5546.6","5560.2","5586.8","5522.4","5571.8","26.8","25.2","2709","300851.54","2508","",""
"ICL1.CFX","20250519","5551.8","5601.8","5610","5542","5555.4","5475.2","5546.6","-58.2","-63.4","2086","230223.964","2033","",""
"ICL1.CFX","20250516","5601.8","5623","5615.8","5615.8","5641.6","5601.2","5610","-14","-5.8","47834","5379178.064","116190","",""
"ICL1.CFX","20250515","5623","5697.8","5685.4","5685","5689.8","5602.6","5615.8","-62.4","-69.6","58925","6638524.876","117015","",""
"ICL1.CFX","20250514","5697.8","5654.6","5654.4","5663.4","5749.2","5635.8","5685.4","43.4","31","72621","8247631.112","117024","",""
"ICL1.CFX","20250513","5654.6","5688","5673.2","5705.2","5717.8","5639.8","5654.4","-18.6","-18.8","49100","5565453.272","102084","",""
"ICL1.CFX","20250512","5688","5604.8","5605.2","5658","5692","5625","5673.2","82.8","68","52449","5937442.204","101404","",""
"ICL1.CFX","20250509","5604.8","5660","5660.8","5656","5658","5583","5605.2","-56","-55.6","44378","4981414.156","98899","",""
"ICL1.CFX","20250508","5660","5620.2","5609.6","5610","5685.6","5609.6","5660.8","50.4","51.2","43288","4896603.196","98379","",""
"ICL1.CFX","20250507","5620.2","5622","5619.4","5700","5748","5591.4","5609.6","0.8","-9.8","54572","6164708.244","100287","",""
"ICL1.CFX","20250506","5622","5497","5512","5544","5625.4","5537","5619.4","110","107.4","43200","4835427.256","97319","",""
"ICL1.CFX","20250430","5497","5487.2","5487.6","5487.2","5531.8","5484.8","5512","9.4","24.4","38409","4235174.88","94639","",""
"ICL1.CFX","20250429","5487.2","5471","5474.4","5460","5505.8","5440.8","5487.6","12.8","13.2","34048","3731913.936","95869","",""
"ICL1.CFX","20250428","5471","5498.6","5499.8","5498","5509","5444.2","5474.4","-28.8","-25.4","37058","4055275.884","96080","",""
"ICL1.CFX","20250425","5498.6","5478","5475.4","5491.8","5546.2","5467","5499.8","23.2","24.4","43767","4821185.088","99051","",""
"ICL1.CFX","20250424","5478","5495","5495.8","5495","5515.6","5443","5475.4","-17.8","-20.4","39686","4349327.08","99171","",""
"ICL1.CFX","20250423","5495","5486","5497","5530","5564.6","5476","5495.8","-2","-1.2","45995","5067597.136","101966","",""
"ICL1.CFX","20250422","5486","5499.8","5507.6","5497.8","5514.6","5467.4","5497","-21.6","-10.6","37064","4068953.836","97788","",""
"ICL1.CFX","20250421","5499.8","5481.2","5423.8","5393","5521.8","5375.4","5507.6","76","83.8","42483","4650750.008","99810","",""
"ICL1.CFX","20250418","5481.2","5483.6","5500.4","5473","5525.6","5447","5502.4","-19.2","2","29463","3228180.032","54711","",""
"ICL1.CFX","20250417","5483.6","5454.8","5439.2","5429.8","5536.8","5429.8","5500.4","44.4","61.2","27886","3071361.9","47876","",""
"ICL1.CFX","20250416","5454.8","5502.6","5493.2","5490.8","5491.2","5399.2","5439.2","-38.4","-54","21897","2382559.732","37191","",""
"ICL1.CFX","20250415","5502.6","5515.8","5527.6","5515.8","5535.4","5466.6","5493.2","-25","-34.4","13002","1427572.336","26596","",""
"ICL1.CFX","20250414","5515.8","5495.4","5515.6","5547","5576.6","5515.8","5527.6","0.2","12","9702","1075396.972","21350","",""
"ICL1.CFX","20250411","5495.4","5452.2","5470.2","5412.8","5561.6","5412.8","5515.6","25.2","45.4","8580","942563.592","17659","",""
"ICL1.CFX","20250410","5452.2","5332","5350.2","5455","5540.2","5431.8","5470.2","102","120","7746","849229.648","15766","",""
"ICL1.CFX","20250409","5332","5208.2","5169.6","5149.8","5381.4","5042.4","5350.2","162.4","180.6","11166","1172285.68","15188","",""
"ICL1.CFX","20250408","5208.2","5195.8","5195.8","5248","5303","5124.6","5169.6","12.4","-26.2","9919","1032058.212","12896","",""
"ICL1.CFX","20250407","5195.8","5779.4","5773","5500","5599.8","5195.8","5195.8","-577.2","-577.2","7660","821341.152","10007","",""
"ICL1.CFX","20250403","5779.4","5826.4","5823.2","5777.8","5841.8","5743.8","5773","-43.8","-50.2","4411","510483.716","8324","",""
"ICL1.CFX","20250402","5826.4","5806","5810.2","5799.6","5863","5798.8","5823.2","16.2","13","2948","343750.556","6665","",""
"ICL1.CFX","20250401","5806","5778.8","5767","5786.6","5853.4","5779.2","5810.2","39","43.2","2336","271825.228","5959","",""
"ICL1.CFX","20250331","5778.8","5830.8","5843.6","5801","5838.2","5712.4","5767","-64.8","-76.6","4462","515003.688","6351","",""
"ICL1.CFX","20250328","5830.8","5881.6","5888.2","5869.8","5902.6","5819","5843.6","-57.4","-44.6","3396","397629.34","5348","",""
"ICL1.CFX","20250327","5881.6","5858.8","5868.6","5850.4","5927.4","5796.2","5888.2","13","19.6","4367","512580.624","5396","",""
"ICL1.CFX","20250326","5858.8","5858","5851","5845","5911.4","5845","5868.6","7.8","17.6","2838","333640.556","3945","",""
"ICL1.CFX","20250325","5858","5862.4","5838.8","5862","5895","5824.8","5851","19.2","12.2","3020","353990.064","3187","",""
"ICL1.CFX","20250324","5862.4","5913.6","5904.4","5872","5889.4","5798","5838.8","-42","-65.6","2904","340046.328","2873","",""
"ICL1.CFX","20250321","5913.6","6005.6","6010","5988.8","6020","5880.4","5904.4","-96.4","-105.6","58354","6944429.86","77193","",""
"ICL1.CFX","20250320","6005.6","6050.2","6034.4","6057.2","6057.2","5994.8","6010","-28.8","-24.4","34844","4196467.232","58277","",""
"ICL1.CFX","20250319","6050.2","6065.4","6066.4","6065.2","6068","6012","6034.4","-16.2","-32","25111","3032449.512","45073","",""
"ICL1.CFX","20250318","6065.4","6036.6","6046","6046","6115.6","6046","6066.4","19.4","20.4","16764","2037957.36","34735","",""
"ICL1.CFX","20250317","6036.6","6055","6041.4","6070","6070.8","6033.4","6046","-4.8","4.6","14421","1744288.988","29534","",""
"ICL1.CFX","20250314","6055","5919.6","5899","5925.2","6055","5903","6041.4","156","142.4","14710","1765787.628","25474","",""
"ICL1.CFX","20250313","5919.6","5971.2","5976.6","5964","5978.8","5865.8","5899","-57","-77.6","13226","1563653.812","24232","",""
"ICL1.CFX","20250312","5971.2","5960.4","5948.6","5977.8","6028.2","5950.2","5976.6","22.6","28","9648","1153866.908","20414","",""
"ICL1.CFX","20250311","5960.4","5922","5918.2","5871.8","5962.6","5862.2","5948.6","42.2","30.4","7488","887415.516","16988","",""
"ICL1.CFX","20250310","5922","5955.8","5948.8","5964.2","5971","5878.6","5918.2","-26.8","-30.6","7227","855041.296","14733","",""
"ICL1.CFX","20250307","5955.8","5986.4","5988.2","5982","5995.8","5931","5948.8","-32.4","-39.4","6013","717128.112","12724","",""
"ICL1.CFX","20250306","5986.4","5866","5865.8","5899.6","6008.2","5899.6","5988.2","120.6","122.4","5334","636278.196","11539","",""
"ICL1.CFX","20250305","5866","5862.4","5864.4","5864","5882.4","5802","5865.8","1.6","1.4","5120","598188.036","10258","",""
"ICL1.CFX","20250304","5862.4","5814.4","5811.2","5761.4","5883.6","5761.4","5864.4","51.2","53.2","4969","580150.588","10402","",""
"ICL1.CFX","20250303","5814.4","5799.8","5792.6","5827.4","5899.2","5788.6","5811.2","21.8","18.6","4931","575987.476","8745","",""
"ICL1.CFX","20250228","5799.8","5947.8","5923.4","5920.2","5927.6","5773.2","5792.6","-123.6","-130.8","5806","678398.832","9090","",""
"ICL1.CFX","20250227","5947.8","5964.4","5953.6","5957","5975.6","5855.2","5923.4","-5.8","-30.2","5997","709882.988","7462","",""
