"ts_code","trade_date","pre_close","pre_settle","open","high","low","close","settle","change1","change2","vol","amount","oi","oi_chg"
"IML3.CFX","20250603","5551.2","5541.8","5525.4","5601","5522.4","5569.2","5572","27.4","30.2","12930","1440541.32","48656",""
"IML3.CFX","20250530","5618","5607.6","5591","5593.4","5519","5551.2","5541.8","-56.4","-65.8","14735","1633879.336","48400",""
"IML3.CFX","20250529","5481.2","5473.8","5485","5638.4","5485","5618","5607.6","144.2","133.8","21657","2419645.972","49439",""
"IML3.CFX","20250528","5487","5490","5493.4","5516.4","5456.4","5481.2","5473.8","-8.8","-16.2","11311","1238673.356","45731",""
"IML3.CFX","20250527","5495","5493.2","5481.4","5508","5431","5487","5490","-6.2","-3.2","13993","1530331.784","46158",""
"IML3.CFX","20250526","5468.2","5492.4","5478.4","5520.2","5455","5495","5493.2","2.6","0.8","12771","1402488.284","43846",""
"IML3.CFX","20250523","5541.6","5540.2","5530","5584","5467.4","5468.2","5492.4","-72","-47.8","17278","1911835.132","45088",""
"IML3.CFX","20250522","5591","5586.8","5570.8","5620.4","5520.4","5541.6","5540.2","-45.2","-46.6","14611","1623044.868","42558",""
"IML3.CFX","20250521","5607.6","5597.8","5600","5603.4","5565","5591","5586.8","-6.8","-11","10480","1170408.564","38902",""
"IML3.CFX","20250520","5589","5581","5589","5621","5545.4","5607.6","5597.8","26.6","16.8","13244","1478820.668","38797",""
"IML3.CFX","20250519","5580.2","5590.8","5580.6","5593.2","5502","5589","5581","-1.8","-9.8","12298","1365296.12","36935",""
"IML3.CFX","20250516","5604.6","5595.6","5588.6","5640.2","5580.2","5580.2","5590.8","-15.4","-4.8","11185","1255246.62","34874",""
"IML3.CFX","20250515","5702","5684","5697.4","5697.4","5578.6","5604.6","5595.6","-79.4","-88.4","10403","1168845.948","32752",""
"IML3.CFX","20250514","5660","5660.6","5659.4","5757.4","5635","5702","5684","41.4","23.4","12916","1467466.94","32030",""
"IML3.CFX","20250513","5702.2","5690.2","5750","5750","5649.2","5660","5660.6","-30.2","-29.6","9188","1043985.364","29554",""
"IML3.CFX","20250512","5620.8","5620","5665.8","5703.6","5647.6","5702.2","5690.2","82.2","70.2","8380","951803.492","27117",""
"IML3.CFX","20250509","5692.2","5688.4","5684","5687.4","5593.4","5620.8","5620","-67.6","-68.4","8328","937370.16","26058",""
"IML3.CFX","20250508","5640","5634.6","5634.6","5721.6","5630","5692.2","5688.4","57.6","53.8","9124","1038178.736","24515",""
"IML3.CFX","20250507","5640","5632.6","5720.2","5775","5610.6","5640","5634.6","7.4","2","9616","1092048.648","23287",""
"IML3.CFX","20250506","5500.6","5510.6","5536","5641.8","5536","5640","5632.6","129.4","122","7833","879164.932","20886",""
"IML3.CFX","20250430","5478.2","5478.4","5490","5533.8","5485","5500.6","5510.6","22.2","32.2","6528","719913.544","18314",""
"IML3.CFX","20250429","5445.8","5447.8","5440","5499.2","5416.8","5478.2","5478.4","30.4","30.6","6083","665528.288","17620",""
"IML3.CFX","20250428","5500","5497.4","5495","5504","5420.8","5445.8","5447.8","-51.6","-49.6","6463","704283.088","16736",""
"IML3.CFX","20250425","5474.2","5471","5491.4","5549.2","5454","5500","5497.4","29","26.4","7632","840345.2","16107",""
"IML3.CFX","20250424","5525","5529.8","5527.8","5527.8","5440.8","5474.2","5471","-55.6","-58.8","7381","809605.432","13693",""
"IML3.CFX","20250423","5465.6","5475.4","5511.6","5569.6","5496","5525","5529.8","49.6","54.4","7403","818495.14","12591",""
"IML3.CFX","20250422","5470.6","5465","5475.2","5497","5429.8","5465.6","5475.4","0.6","10.4","7388","806776.884","8711",""
"IML3.CFX","20250421","5477","5503.8","5333","5478","5292.4","5470.6","5465","-33.2","-38.8","7400","803584.768","7159",""
"IML3.CFX","20250418","5488","5505.2","5480","5533","5430","5477","5503.8","-28.2","-1.4","24106","2639541.264","76674",""
"IML3.CFX","20250417","5434.4","5427.2","5409.2","5545.8","5409.2","5488","5505.2","60.8","78","26102","2873835.552","74750",""
"IML3.CFX","20250416","5508.8","5500.4","5480.8","5498.2","5388.2","5434.4","5427.2","-66","-73.2","28321","3076229.372","78229",""
"IML3.CFX","20250415","5522.8","5534.2","5530","5550.2","5465","5508.8","5500.4","-25.4","-33.8","21222","2334237.616","73212",""
"IML3.CFX","20250414","5511","5520.4","5575","5601.8","5522.8","5522.8","5534.2","2.4","13.8","23757","2640640.744","73695",""
"IML3.CFX","20250411","5419","5440.6","5391","5578.2","5389","5511","5520.4","70.4","79.8","29006","3182580.044","73273",""
"IML3.CFX","20250410","5274.4","5293.8","5395","5542.8","5395","5419","5440.6","125.2","146.8","35576","3890156.372","72984",""
"IML3.CFX","20250409","5157.4","5108.6","5067","5328","4900","5274.4","5293.8","165.8","185.2","49440","5090944.844","77135",""
"IML3.CFX","20250408","5277.6","5277.6","5295","5337","5044.4","5157.4","5108.6","-120.2","-169","49628","5139454.68","77086",""
"IML3.CFX","20250407","5862.6","5864","5700","5700","5277.6","5277.6","5277.6","-586.4","-586.4","38142","4119154.612","70909",""
"IML3.CFX","20250403","5928.6","5925.6","5888","5958.4","5831.8","5862.6","5864","-63","-61.6","20769","2444699.696","67796",""
"IML3.CFX","20250402","5891","5896.4","5890","5969","5888.2","5928.6","5925.6","32.2","29.2","12486","1481499.704","63983",""
"IML3.CFX","20250401","5878.2","5871.6","5898","5944","5886","5891","5896.4","19.4","24.8","14822","1752407.488","63392",""
"IML3.CFX","20250331","5915","5929.2","5895","5925","5815.4","5878.2","5871.6","-51","-57.6","23481","2754019.096","66883",""
"IML3.CFX","20250328","5977.2","5979.2","5995","6006.6","5902","5915","5929.2","-64.2","-50","16884","2006902.124","61342",""
"IML3.CFX","20250327","5967.6","5980","5960.2","6037.6","5885.8","5977.2","5979.2","-2.8","-0.8","17847","2130703.74","62530",""
"IML3.CFX","20250326","5953","5943.2","5945.2","6020.8","5945.2","5967.6","5980","24.4","36.8","16394","1964578.464","59697",""
"IML3.CFX","20250325","5978","5945.2","5966","6000","5910.2","5953","5943.2","7.8","-2","18291","2176983.476","61458",""
"IML3.CFX","20250324","6010.8","6001.8","6018","6021","5903","5978","5945.2","-23.8","-56.6","22007","2625072.464","60723",""
"IML3.CFX","20250321","6138","6139","6126.2","6138.8","5971.8","6010.8","6001.8","-128.2","-137.2","25530","3087927.58","62065",""
"IML3.CFX","20250320","6165","6150.8","6151.8","6179.2","6109","6138","6139","-12.8","-11.8","16149","1984486.332","55659",""
"IML3.CFX","20250319","6195.8","6199.2","6190","6193.6","6134","6165","6150.8","-34.2","-48.4","16277","2006079.404","53668",""
"IML3.CFX","20250318","6166.4","6176.8","6200","6259.8","6176.8","6195.8","6199.2","19","22.4","15775","1959162.24","51776",""
"IML3.CFX","20250317","6210","6194.4","6215","6218","6165.2","6166.4","6176.8","-28","-17.6","13900","1719948.216","50215",""
"IML3.CFX","20250314","6050.4","6031.6","6050.4","6210","6014.8","6210","6194.4","178.4","162.8","20491","2511119.552","49955",""
"IML3.CFX","20250313","6116","6130.2","6101.8","6118.8","5999.8","6050.4","6031.6","-79.8","-98.6","18162","2194159.84","50179",""
"IML3.CFX","20250312","6102.4","6085","6130","6183.8","6090","6116","6130.2","31","45.2","14942","1831393.696","47708",""
