trade_date,close_ih0,close_ih1,close_ih2,close_ih3,price_spread_ih0_ih1,price_spread_ih0_ih2,price_spread_ih0_ih3,price_spread_ih1_ih2,price_spread_ih1_ih3,price_spread_ih2_ih3
2025-05-30,2667.2,2633.2,2629.6,2628.4,34.0,37.59999999999991,38.79999999999973,3.599999999999909,4.799999999999727,1.199999999999818
2025-05-29,2673.6,2644.0,2639.2,2639.4,29.59999999999991,34.40000000000009,34.19999999999982,4.800000000000182,4.599999999999909,-0.20000000000027285
2025-05-28,2665.4,2635.0,2629.0,2626.0,30.40000000000009,36.40000000000009,39.40000000000009,6.0,9.0,3.0
2025-05-27,2668.6,2638.6,2632.0,2629.2,30.0,36.59999999999991,39.40000000000009,6.599999999999909,9.400000000000091,2.800000000000182
2025-05-26,2684.4,2652.2,2646.2,2644.2,32.20000000000027,38.20000000000027,40.20000000000027,6.0,8.0,2.0
2025-05-23,2693.0,2664.8,2655.6,2653.8,28.199999999999818,37.40000000000009,39.19999999999982,9.200000000000273,11.0,1.7999999999997272
2025-05-22,2715.4,2685.0,2677.2,2671.2,30.40000000000009,38.20000000000027,44.20000000000027,7.800000000000182,13.800000000000182,6.0
2025-05-21,2712.6,2682.4,2676.2,2672.4,30.199999999999818,36.40000000000009,40.19999999999982,6.200000000000273,10.0,3.799999999999727
2025-05-20,2699.4,2671.0,2663.6,2661.0,28.40000000000009,35.80000000000018,38.40000000000009,7.400000000000091,10.0,2.599999999999909
2025-05-19,2688.8,2661.8,2653.2,2651.4,27.0,35.600000000000364,37.40000000000009,8.600000000000364,10.400000000000091,1.7999999999997272
2025-05-16,2713.8,2695.2,2661.6,2658.2,18.600000000000364,52.20000000000027,55.600000000000364,33.59999999999991,37.0,3.400000000000091
2025-05-15,2740.8,2723.0,2691.2,2688.2,17.800000000000182,49.600000000000364,52.600000000000364,31.800000000000182,34.80000000000018,3.0
2025-05-14,2756.0,2737.6,2707.0,2704.0,18.40000000000009,49.0,52.0,30.59999999999991,33.59999999999991,3.0
2025-05-13,2708.6,2688.2,2654.2,2651.0,20.40000000000009,54.40000000000009,57.59999999999991,34.0,37.19999999999982,3.199999999999818
2025-05-12,2703.8,2686.6,2653.2,2649.0,17.200000000000273,50.600000000000364,54.80000000000018,33.40000000000009,37.59999999999991,4.199999999999818
2025-05-09,2683.6,2666.2,2632.0,2627.0,17.40000000000009,51.59999999999991,56.59999999999991,34.19999999999982,39.19999999999982,5.0
2025-05-08,2679.0,2664.8,2631.6,2627.6,14.199999999999818,47.40000000000009,51.40000000000009,33.20000000000027,37.20000000000027,4.0
2025-05-07,2664.8,2646.4,2614.0,2611.0,18.40000000000009,50.80000000000018,53.80000000000018,32.40000000000009,35.40000000000009,3.0
2025-05-06,2645.8,2629.6,2598.4,2594.4,16.200000000000273,47.40000000000009,51.40000000000009,31.199999999999818,35.19999999999982,4.0
2025-04-30,2627.2,2609.2,2578.0,2575.8,18.0,49.19999999999982,51.399999999999636,31.199999999999818,33.399999999999636,2.199999999999818
2025-04-29,2639.0,2621.2,2589.8,2583.4,17.800000000000182,49.19999999999982,55.59999999999991,31.399999999999636,37.79999999999973,6.400000000000091
2025-04-28,2645.4,2628.0,2594.6,2590.4,17.40000000000009,50.80000000000018,55.0,33.40000000000009,37.59999999999991,4.199999999999818
2025-04-25,2645.0,2628.0,2595.8,2592.2,17.0,49.19999999999982,52.80000000000018,32.19999999999982,35.80000000000018,3.600000000000364
2025-04-24,2651.0,2635.8,2602.6,2600.0,15.199999999999818,48.40000000000009,51.0,33.20000000000027,35.80000000000018,2.599999999999909
2025-04-23,2641.0,2627.4,2595.6,2588.6,13.599999999999909,45.40000000000009,52.40000000000009,31.800000000000182,38.80000000000018,7.0
2025-04-22,2649.8,2637.4,2604.8,2598.6,12.400000000000091,45.0,51.20000000000027,32.59999999999991,38.80000000000018,6.200000000000273
2025-04-21,2643.6,2631.4,2599.8,2597.8,12.199999999999818,43.79999999999973,45.79999999999973,31.59999999999991,33.59999999999991,2.0
2025-04-18,2652.4,2643.8,2633.4,2599.6,8.599999999999909,19.0,52.80000000000018,10.400000000000091,44.20000000000027,33.80000000000018
2025-04-17,2656.8,2644.8,2633.6,2599.4,12.0,23.200000000000273,57.40000000000009,11.200000000000273,45.40000000000009,34.19999999999982
2025-04-16,2644.6,2629.8,2620.0,2585.6,14.799999999999727,24.59999999999991,59.0,9.800000000000182,44.20000000000027,34.40000000000009
2025-04-15,2628.2,2617.8,2608.8,2576.0,10.399999999999636,19.399999999999636,52.19999999999982,9.0,41.80000000000018,32.80000000000018
2025-04-14,2622.8,2618.0,2606.6,2575.8,4.800000000000182,16.200000000000273,47.0,11.400000000000091,42.19999999999982,30.799999999999727
2025-04-11,2609.0,2607.0,2595.6,2565.6,2.0,13.400000000000091,43.40000000000009,11.400000000000091,41.40000000000009,30.0
2025-04-10,2598.4,2596.0,2582.2,2553.0,2.400000000000091,16.200000000000273,45.40000000000009,13.800000000000182,43.0,29.199999999999818
2025-04-09,2575.2,2575.8,2564.2,2532.2,-0.6000000000003638,11.0,43.0,11.600000000000364,43.600000000000364,32.0
2025-04-08,2536.0,2520.8,2513.2,2485.8,15.199999999999818,22.800000000000182,50.19999999999982,7.600000000000364,35.0,27.399999999999636
2025-04-07,2457.6,2448.4,2441.2,2410.6,9.199999999999818,16.40000000000009,47.0,7.200000000000273,37.80000000000018,30.59999999999991
2025-04-03,2664.4,2662.6,2658.0,2625.4,1.800000000000182,6.400000000000091,39.0,4.599999999999909,37.19999999999982,32.59999999999991
