"ts_code","trade_date","close","pre_close","pre_settle","open","high","low","settle","change1","change2","vol","amount","oi","oi_chg","delv_settle"
"IML1.CFX","20250530","5877.2","5941.8","5928.8","5930.6","5930.6","5843","5868.4","-51.6","-60.4","6366","747421.472","13933","",""
"IML1.CFX","20250529","5941.8","5809.2","5801.2","5815.4","5941.8","5815.4","5928.8","140.6","127.6","7856","927101.912","13902","",""
"IML1.CFX","20250528","5809.2","5823.4","5824.2","5829.8","5851.4","5783","5801.2","-15","-23","5599","650340.352","11259","",""
"IML1.CFX","20250527","5823.4","5833.4","5827.4","5816.2","5842.6","5769.4","5824.2","-4","-3.2","6230","723242.744","10859","",""
"IML1.CFX","20250526","5833.4","5780","5804","5780","5845.8","5779.4","5827.4","29.4","23.4","6181","718824.596","9249","",""
"IML1.CFX","20250523","5780","5859.4","5858.8","5860","5905.6","5780","5804","-78.8","-54.8","7237","846057.648","9168","",""
"IML1.CFX","20250522","5859.4","5909.4","5909","5899.6","5945.6","5840","5858.8","-49.6","-50.2","4685","550782.796","6653","",""
"IML1.CFX","20250521","5909.4","5926","5922.4","5919","5924.6","5883.8","5909","-13","-13.4","3432","405386.66","5352","",""
"IML1.CFX","20250520","5926","5892","5883.2","5894","5939","5853.2","5922.4","42.8","39.2","4184","493278.824","4102","",""
"IML1.CFX","20250519","5892","5933.8","5948.8","5845.8","5893","5787.2","5883.2","-56.8","-65.6","4126","482109.484","4026","",""
"IML1.CFX","20250516","5933.8","5949","5943","5939.2","5992.2","5933.2","5948.8","-9.2","5.8","131868","15732517.684","188635","",""
"IML1.CFX","20250515","5949","6043","6026","6026.2","6029.8","5924.4","5943","-77","-83","155023","18482466.424","187025","",""
"IML1.CFX","20250514","6043","5996.6","5997","6010.2","6101.8","5973.6","6026","46","29","189515","22828820.904","196475","",""
"IML1.CFX","20250513","5996.6","6037","6022.2","6075.4","6079.6","5981","5997","-25.6","-25.2","132408","15934063.972","170058","",""
"IML1.CFX","20250512","6037","5945.2","5944","6002","6039","5975.2","6022.2","93","78.2","134023","16106796.612","170704","",""
"IML1.CFX","20250509","5945.2","6018.8","6015.6","6012.8","6012.8","5911.6","5944","-70.4","-71.6","124744","14845821.256","165673","",""
"IML1.CFX","20250508","6018.8","5955.2","5945","5945","6042.8","5945","6015.6","73.8","70.6","125065","15028031.044","165679","",""
"IML1.CFX","20250507","5955.2","5953.2","5947.8","6015","6090","5920.4","5945","7.4","-2.8","158085","18944629.604","174521","",""
"IML1.CFX","20250506","5953.2","5801.4","5814","5855","5955","5852","5947.8","139.2","133.8","107389","12712410.052","160100","",""
"IML1.CFX","20250430","5801.4","5773.6","5769","5785","5833","5775","5814","32.4","45","108819","12649381.336","153214","",""
"IML1.CFX","20250429","5773.6","5729","5733.2","5719","5787.6","5700","5769","40.4","35.8","116166","13372787.084","159461","",""
"IML1.CFX","20250428","5729","5786.6","5785","5780","5794.6","5700","5733.2","-56","-51.8","120927","13866666.684","159258","",""
"IML1.CFX","20250425","5786.6","5767.4","5761.6","5788","5840","5744","5785","25","23.4","147686","17115874.144","167733","",""
"IML1.CFX","20250424","5767.4","5820","5821.6","5805","5823","5730.8","5761.6","-54.2","-60","135094","15603366.064","163863","",""
"IML1.CFX","20250423","5820","5769.6","5782.6","5840","5873.2","5791.8","5821.6","37.4","39","146296","17054699.116","166689","",""
"IML1.CFX","20250422","5769.6","5770","5770","5770.2","5802.8","5732.2","5782.6","-0.4","12.6","130317","15028108.584","163968","",""
"IML1.CFX","20250421","5770","5738.2","5670.4","5627.6","5783","5603.6","5770","99.6","99.6","137318","15734603.64","166314","",""
"IML1.CFX","20250418","5738.2","5749.8","5768.2","5737","5797","5692.2","5766.2","-30","-2","50741","5820983.56","70923","",""
"IML1.CFX","20250417","5749.8","5713.8","5700.2","5700.2","5816.6","5687.8","5768.2","49.6","68","39973","4618661.768","55797","",""
"IML1.CFX","20250416","5713.8","5793","5782.8","5780","5780","5653","5700.2","-69","-82.6","36696","4189413.436","47601","",""
"IML1.CFX","20250415","5793","5794","5804","5805.6","5828.2","5747.8","5782.8","-11","-21.2","22011","2543551.592","33322","",""
"IML1.CFX","20250414","5794","5763.2","5779","5865.8","5867.4","5790.4","5804","15","25","15822","1841906.332","27006","",""
"IML1.CFX","20250411","5763.2","5666.2","5689.4","5650","5839","5632","5779","73.8","89.6","14348","1649388.98","22132","",""
"IML1.CFX","20250410","5666.2","5514","5535.6","5689.8","5791.2","5640","5689.4","130.6","153.8","14381","1642299.912","20103","",""
"IML1.CFX","20250409","5514","5394","5340.2","5312.2","5573.4","5128","5535.6","173.8","195.4","18021","1944321.148","19651","",""
"IML1.CFX","20250408","5394","5496.8","5496.8","5503","5573.4","5278","5340.2","-102.8","-156.6","16170","1750207.56","17914","",""
"IML1.CFX","20250407","5496.8","6106.8","6107.4","5791","5911.2","5496.8","5496.8","-610.6","-610.6","12503","1408453.936","15045","",""
"IML1.CFX","20250403","6106.8","6174.6","6175.6","6122","6209","6071.2","6107.4","-68.8","-68.2","7817","959207.968","12529","",""
"IML1.CFX","20250402","6174.6","6143","6149.2","6142.8","6219.2","6141.8","6175.6","25.4","26.4","4540","561496.512","9695","",""
"IML1.CFX","20250401","6143","6126.2","6119.2","6145.4","6199.2","6136.8","6149.2","23.8","30","4040","497953.28","8672","",""
"IML1.CFX","20250331","6126.2","6162","6172","6123.6","6168.4","6053.4","6119.2","-45.8","-52.8","5690","695138.768","8390","",""
"IML1.CFX","20250328","6162","6223.2","6227","6225","6253.2","6146.8","6172","-65","-55","5364","664163.232","8324","",""
"IML1.CFX","20250327","6223.2","6205.4","6216.6","6193","6282.8","6124.2","6227","6.6","10.4","5853","726617.804","6777","",""
"IML1.CFX","20250326","6205.4","6192.6","6183.2","6189.2","6263","6189.2","6216.6","22.2","33.4","4769","594212.656","5941","",""
